,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date,Country
0,mizan teferi,6.99,35.58,60.21,91,0,3.78,1571957095,ET
1,kruisfontein,-34.0,24.73,63.68,44,100,7.29,1571957096,ZA
2,vaini,15.34,74.49,68.36,98,88,5.93,1571957096,IN
3,teya,21.05,-89.07,93.2,52,40,16.11,1571957096,MX
4,rikitea,-23.12,-134.97,71.19,83,80,28.81,1571957096,PF
5,esperance,-33.86,121.89,50.0,100,90,10.29,1571957097,AU
6,nishihara,35.74,139.53,63.0,100,90,13.87,1571957097,JP
7,bimbo,4.33,18.53,71.82,97,100,5.12,1571957097,CF
8,kodiak,39.95,-94.76,45.0,70,90,5.82,1571957097,US
9,new norfolk,-42.78,147.06,81.0,50,64,25.28,1571957097,AU
10,butaritari,3.07,172.79,84.15,69,51,5.3,1571957098,KI
11,vao,59.1,26.19,43.97,95,35,6.38,1571957098,EE
12,bondo,3.81,23.69,68.88,98,73,2.26,1571957098,CD
13,praia,-20.25,-43.81,78.8,50,73,8.05,1571957098,BR
14,kota belud,6.35,116.43,75.2,94,75,4.7,1571957098,MY
15,kapaa,22.08,-159.32,84.2,74,1,8.05,1571957099,US
16,hermanus,-34.42,19.24,68.0,57,100,10.0,1571957099,ZA
17,fortuna,40.6,-124.16,87.01,34,20,3.36,1571957099,US
18,puerto ayora,-0.74,-90.35,78.8,57,20,20.8,1571957099,EC
19,cayenne,4.94,-52.33,82.4,78,20,2.24,1571957099,GF
20,punta arenas,-53.16,-70.91,55.4,30,0,25.28,1571957100,CL
21,busselton,-33.64,115.35,57.0,59,46,9.22,1571957100,AU
22,hobart,-42.88,147.33,81.0,46,73,25.28,1571956882,AU
23,newcastle,-32.93,151.78,86.0,35,0,5.01,1571957101,AU
24,bambous virieux,-20.34,57.76,75.2,88,75,6.93,1571957101,MU
25,westport,41.14,-73.36,62.6,48,1,13.87,1571957101,US
26,laguna,16.17,-88.94,86.0,70,20,4.7,1571957102,BZ
27,aketi,2.74,23.78,69.93,98,98,1.59,1571957102,CD
28,hilo,19.71,-155.08,87.8,45,1,8.05,1571957102,US
29,thompson,55.74,-97.86,35.6,69,90,6.93,1571957103,CA
30,henties bay,-22.12,14.28,61.0,91,0,1.01,1571957103,NA
31,berdigestyakh,62.1,126.7,18.55,92,99,4.65,1571957103,RU
32,porto novo,-23.68,-45.44,68.0,88,75,4.7,1571957104,BR
33,mataura,-46.19,168.86,50.0,74,98,14.0,1571957104,NZ
34,severo-kurilsk,50.68,156.12,35.15,79,49,11.25,1571957104,RU
35,tupanatinga,-8.75,-37.34,70.84,82,56,10.25,1571957104,BR
36,cabo san lucas,22.89,-109.91,88.0,54,5,13.87,1571956886,MX
37,jamestown,-33.21,138.6,59.81,42,10,17.78,1571957105,AU
38,albany,42.65,-73.75,64.99,34,20,9.17,1571956936,US
39,port alfred,-33.59,26.89,63.0,86,99,1.01,1571957105,ZA
40,tiksi,71.64,128.87,7.38,84,11,12.68,1571957105,RU
41,chuy,-33.69,-53.46,54.99,88,1,5.59,1571957105,UY
42,ilulissat,69.22,-51.1,39.2,32,75,8.05,1571957106,GL
43,barrow,-38.31,-60.23,50.07,82,31,9.08,1571957106,AR
44,bilibino,68.06,166.44,-2.98,96,100,2.44,1571957106,RU
45,tigil,57.8,158.67,24.8,81,13,1.95,1571957107,RU
46,port hardy,50.7,-127.42,51.8,93,90,11.41,1571957107,CA
47,beruwala,6.48,79.98,75.85,87,100,2.62,1571957107,LK
48,semnan,35.58,53.39,57.2,87,90,6.35,1571957107,IR
49,tay ninh,11.3,106.1,77.2,86,39,3.91,1571957108,VN
50,berlevag,70.86,29.09,28.4,86,75,2.24,1571957108,NO
51,presidencia roque saenz pena,-26.79,-60.44,69.28,63,0,7.23,1571957108,AR
52,atuona,-9.8,-139.03,79.74,73,10,13.04,1571957108,PF
53,neiafu,-18.65,-173.98,77.0,78,75,6.93,1571957109,TO
54,adrar,27.87,-0.29,66.2,16,0,10.29,1571957109,DZ
55,ushuaia,-54.81,-68.31,46.4,75,40,17.22,1571956938,AR
56,tasiilaq,65.61,-37.64,24.8,49,5,2.24,1571957109,GL
57,faanui,-16.48,-151.75,79.83,60,1,9.06,1571957110,PF
58,mansa,23.43,72.66,68.0,68,20,6.13,1571957110,IN
59,mahebourg,-20.41,57.7,75.2,88,75,6.93,1571957110,MU
60,bose,45.46,8.01,59.0,82,75,6.93,1571957110,IT
61,hervey bay,-25.3,152.85,79.0,57,40,8.05,1571957111,AU
62,svecha,58.28,47.52,40.06,90,99,5.1,1571957111,RU
63,lavrentiya,65.58,-170.99,28.53,69,92,11.79,1571957111,RU
64,necochea,-38.55,-58.74,50.0,92,15,1.99,1571957112,AR
65,charters towers,-20.07,146.27,79.79,45,31,10.36,1571957112,AU
66,naryan-mar,67.67,53.09,21.36,83,29,11.18,1571957112,RU
67,chone,-0.7,-80.09,71.92,80,47,6.22,1571957112,EC
68,fuxin,42.02,121.65,35.35,48,0,17.58,1571957112,CN
69,codrington,-28.95,153.24,73.4,64,0,5.44,1571957113,AU
70,cherskiy,68.75,161.3,0.68,94,99,10.36,1571957113,RU
71,kaitangata,-46.28,169.85,48.31,69,100,28.5,1571957113,NZ
72,carnarvon,-30.97,22.13,56.97,37,96,15.75,1571957113,ZA
73,lebu,8.96,38.73,47.73,55,52,2.37,1571957114,ET
74,saiki,32.95,131.89,66.2,93,75,5.82,1571957114,JP
75,hasaki,35.73,140.83,64.4,93,75,16.11,1571957114,JP
76,comodoro rivadavia,-45.87,-67.48,69.8,37,68,18.34,1571956888,AR
77,bowen,-20.01,148.25,77.0,65,90,10.29,1571957114,AU
78,evensk,61.92,159.24,15.37,42,4,5.77,1571957114,RU
79,maxixe,-23.86,35.35,75.88,94,60,7.4,1571957115,MZ
80,longyearbyen,78.22,15.63,10.4,72,20,2.89,1571957115,NO
81,boa vista,2.82,-60.67,86.0,70,40,6.93,1571957115,BR
82,goderich,43.74,-81.71,48.99,62,93,4.0,1571957115,CA
83,chimbote,-9.08,-78.59,61.61,83,60,6.15,1571957116,PE
84,boueni,-12.9,45.08,80.6,78,0,8.05,1571957116,YT
85,doha,25.29,51.53,86.0,78,0,3.98,1571957051,QA
86,sao filipe,14.9,-24.5,74.53,81,64,11.9,1571957117,CV
87,abu dhabi,24.47,54.37,84.2,83,0,3.36,1571957087,AE
88,mildura,-34.18,142.16,64.4,48,84,12.75,1571957117,AU
89,quelimane,-17.88,36.89,81.9,72,0,9.57,1571957117,MZ
90,bathsheba,13.22,-59.52,82.4,74,40,12.75,1571957117,BB
91,nouadhibou,20.93,-17.03,73.4,69,1,8.05,1571957117,MR
92,banfora,10.64,-4.75,76.91,70,100,3.47,1571957118,BF
93,bludov,49.94,16.93,55.99,76,0,2.82,1571957118,CZ
94,airai,-8.93,125.41,78.3,33,72,5.06,1571957118,TL
95,naze,5.43,7.07,73.4,100,75,1.79,1571957118,NG
96,fort nelson,58.81,-122.69,50.0,57,40,3.36,1571957119,CA
97,vardo,39.62,-77.74,68.0,34,1,8.05,1571957119,US
98,hamilton,43.26,-79.87,55.4,61,75,8.05,1571957119,CA
99,ponta do sol,-20.63,-46.0,68.92,86,30,2.33,1571957119,BR
